"","body_ratio","head_ratio","snout_ratio","eye_ratio","peduncle_ratio","anal_fin_ratio","pelvic_fin_ratio","eye_height","snout_angle","peduncle_depth_factor","relative_body_length","species"
"Amblyglyphidodon leucogaster_97203995",0.556418077347034,0.156689011732146,0.380986630426494,0.434007256462338,0.0226533173163221,0.286225724970258,0.0936510386073336,0.601582681350145,1.34096554823325,12.9449268461241,0.536409457848514,"Amblyglyphidodon_leucogaster"
"Amblyglyphidodon melanopterus_3",0.568998979106746,0.201591502544221,0.524934138490354,0.437886060252067,0.0188411696270994,0.272376209646996,0.121931289309275,0.534122878925817,1.18870852948319,14.7438759450415,0.544858334295827,"Amblyglyphidodon_melanopterus"
"Amblyglyphidodon melanopterus_4",0.602856415290326,0.216017591406937,0.446721661555605,0.488791248166086,0.0229772825634025,0.27950862849334,0.14564926333396,0.55531792090854,1.24848702235577,11.1067874977944,0.543189751739691,"Amblyglyphidodon_melanopterus"
"Amblyglyphidodon orbicularis_159900358",0.553431483333084,0.183166390884029,0.284077615773498,0.526438746701211,0.0197689223270505,0.298168902726422,0.159825792229033,0.524176928906128,1.25798863032885,16.0286719140624,0.536537751553161,"Amblyglyphidodon_orbicularis"
"Amblyglyphidodon orbicularis_179695",0.60686686799984,0.164220000223988,0.295185134318177,0.505921833064676,0.0209831262928013,0.236467474367045,0.0915768574778522,0.595716979547945,1.37385258879151,13.564467385282,0.538346938987985,"Amblyglyphidodon_orbicularis"
"Amblyglyphidodon silolona_3",0.515784231582492,0.192458120933466,0.331161212510189,0.466739491925432,0.0204837876772505,0.280687538929153,0.0658780024052581,0.646419188106126,1.31551161925302,15.503406779449,0.545830274468061,"Amblyglyphidodon_silolona"
"Amblyglyphidodon silolona_6619552",0.513814014814958,0.226477536730323,0.41311274031155,0.471175084112793,0.0214605375515984,0.280490928493673,0.0821348809686669,0.559400899675658,1.16128145564525,11.9040327769934,0.561176363753921,"Amblyglyphidodon_silolona"
"Amblyglyphidodon ternatensis_1",0.58037406057901,0.171185175268282,0.498166762735757,0.508723731602062,0.0208539114242262,0.289968364105079,0.0647497280277629,0.666734298111078,1.25791339903672,14.2971331840885,0.53435022534988,"Amblyglyphidodon_ternatensis"
"Amblyglyphidodon ternatensis_4",0.513260446889784,0.176674475288749,0.467393484378608,0.502003644427149,0.0264294583312445,0.235065666953849,0.0580310368740136,0.655441680295996,1.28346973305237,12.0562627673834,0.555450008773246,"Amblyglyphidodon_ternatensis"
"Amblyglyphidodon-aureus_67722634",0.562527591027063,0.202127489251257,0.4164292389449,0.462570931022085,0.0182436091262941,0.270377049743426,0.0798176209548831,0.607335220396408,1.28633142846858,15.1768902005222,0.5461382735928,"Amblyglyphidodon_aureus"
