model,AIC,k,n_obs,AICc,PC,region,TraitSet,DeltaAICc,Weight
BM,367.57079198815444,1,343,367.582522193433,colorPC5,IO,Color,60.55452978725128,3.993241096502853e-14
EB,369.6826013931613,1,343,369.6943315984399,colorPC5,IO,Color,62.666339192258135,1.389158965940553e-14
OU,309.908991274534,1,343,309.9207214798126,colorPC5,IO,Color,2.8927290736308464,0.13256426410039127
OUM_Diet,306.849950863155,5,343,307.02799240618174,colorPC5,IO,Color,0,0.563085835104407
OUM_Habitat,314.90688946407903,7,343,315.241217822288,colorPC5,IO,Color,8.21322541610624,0.009270333625042898
OUM_Symbiosis,309.7262910631655,5,343,309.9043326061922,colorPC5,IO,Color,2.8763402000104747,0.13365501653324155
DDlin,338.47652343111463,3,343,338.54731989129164,colorPC5,IO,Color,31.519327485109898,8.05822895025814e-8
DDexp,309.47575990127456,3,343,309.54655636145156,colorPC5,IO,Color,2.5185639552698262,0.15983628923034202
MC,369.6819892187706,3,343,369.7527856789476,colorPC5,IO,Color,62.72479327276585,1.3491455461537456e-14
WN,578.7455140193263,1,343,578.7572442246048,colorPC5,IAA,Color,1.0101526105858056,0.2050246684186692
BM,787.2495274799076,1,343,787.2612576851861,colorPC5,IAA,Color,209.5141660711671,1.0857625748699507e-46
EB,789.3104496722957,1,343,789.3221798775743,colorPC5,IAA,Color,211.57508826355524,3.8744610563560374e-47
OU,578.1750025166469,1,343,578.1867327219255,colorPC5,IAA,Color,0.4396411079064819,0.2727037543239962
OUM_Diet,579.6858802385889,5,343,579.8639217816155,colorPC5,IAA,Color,2.116830167596504,0.11789466156168239
OUM_Habitat,583.6867392203005,7,343,584.0210675785095,colorPC5,IAA,Color,6.2739759644904325,0.01474963930658785
OUM_Symbiosis,581.4062853682976,5,343,581.5843269113243,colorPC5,IAA,Color,3.8372352973052557,0.04987844583708203
DDlin,710.3478223754149,3,343,710.4186188355919,colorPC5,IAA,Color,132.6715272215729,5.27110759865959e-30
DDexp,577.676295153842,3,343,577.747091614019,colorPC5,IAA,Color,0,0.3397488305519824
MC,789.3093296589948,3,343,789.3801261191718,colorPC5,IAA,Color,211.63303450515275,3.763816428098506e-47
WN,344.3790226391774,1,343,344.39075284445596,colorPC5,CPO,Color,0,0.3829068926064261
BM,453.481316257649,1,343,453.49304646292757,colorPC5,CPO,Color,109.1022936184716,7.795269661044562e-25
EB,455.5797420100827,1,343,455.5914722153613,colorPC5,CPO,Color,111.20071937090535,2.7300071269531365e-25
OU,345.26927160078026,1,343,345.28100180605884,colorPC5,CPO,Color,0.8902489616028788,0.2453454895381799
OUM_Diet,348.7447136396323,5,343,348.92275518265905,colorPC5,CPO,Color,4.532002338203085,0.03971745208758096
OUM_Habitat,351.00178721051225,6,343,351.25178721051225,colorPC5,CPO,Color,6.861034366056288,0.012394770829319715
OUM_Symbiosis,348.4416718855174,5,343,348.6197134285441,colorPC5,CPO,Color,4.228960584088156,0.0462153302823092
DDlin,409.1795960307401,3,343,409.2503924909171,colorPC5,CPO,Color,64.85963964646112,3.155014689990217e-15
DDexp,344.9935214810926,3,343,345.0643179412696,colorPC5,CPO,Color,0.6735650968136611,0.273420064656181
MC,455.5789600077672,3,343,455.6497564679442,colorPC5,CPO,Color,111.25900362348824,2.6515969828056286e-25
WN,54.875916631608305,1,343,54.8876468368869,colorPC5,EPO,Color,5.178162950108941,0.05896421235841322
BM,60.789530486169355,1,343,60.80126069144795,colorPC5,EPO,Color,11.09177680466999,0.0030652335404496456
EB,63.58381399274924,1,343,63.59554419802784,colorPC5,EPO,Color,13.886060311249878,7.580408591510958e-4
OU,55.19978409880234,1,343,55.211514304080936,colorPC5,EPO,Color,5.502030417302976,0.050148918861216
OUM_Diet,49.53144234375125,5,343,49.70948388677796,colorPC5,EPO,Color,0,0.7852578731969794
OUM_Habitat,56.81217724949698,4,343,56.93052044476325,colorPC5,EPO,Color,7.221036557985293,0.021231668956276775
OUM_Symbiosis,57.29135596802485,4,343,57.40969916329112,colorPC5,EPO,Color,7.700215276513163,0.01670828203064957
DDlin,58.507481206528354,3,343,58.57827766670535,colorPC5,EPO,Color,8.868793779927387,0.009314900057185204
DDexp,54.999613643516774,3,343,55.07041010369377,colorPC5,EPO,Color,5.360926216915807,0.05381482873680714
MC,63.58364957191924,3,343,63.65444603209623,colorPC5,EPO,Color,13.944962145318271,7.360414028718673e-4
WN,98.52951514877647,1,343,98.54124535405506,colorPC5,AO,Color,0,0.4717106653167528
BM,148.44953570638367,1,343,148.46126591166225,colorPC5,AO,Color,49.92002055760719,6.818376260639957e-12
EB,150.92843016722608,1,343,150.94016037250466,colorPC5,AO,Color,52.3989150184496,1.9742214698095245e-12
OU,101.00813829184699,1,343,101.01986849712559,colorPC5,AO,Color,2.4786231430705215,0.1365996286866981
OUM_Diet,106.10737248958284,5,343,106.28541403260955,colorPC5,AO,Color,7.744168678554487,0.009818628622508003
OUM_Habitat,104.43784786158373,6,343,104.68784786158373,colorPC5,AO,Color,6.146602507528669,0.02182518431128119
OUM_Symbiosis,99.93473203317059,4,343,100.05307522843687,colorPC5,AO,Color,1.511829874381803,0.22150626272185356
